output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
133,133,timestamp_inferred,1788012775210330.000,275036.242574,65,66,1.493910,1
134,134,camera_timecode_anchor,1788012775243757.000,275040.305878,66,66,2.548984,1
135,135,timestamp_inferred,1788012775277182.000,275044.386953,66,67,2.548984,1
136,136,camera_timecode_anchor,1788012775310607.000,275048.468029,67,67,3.900241,1
137,137,timestamp_inferred,1788012775344037.000,275052.525065,67,68,3.900241,1
138,138,camera_timecode_anchor,1788012775377467.000,275056.582101,68,68,-3.482495,0
139,139,timestamp_inferred,1788012775410893.500,275060.674299,68,69,-3.482495,0
140,140,camera_timecode_anchor,1788012775444320.000,275064.766498,69,69,-1.945848,1
141,141,timestamp_inferred,1788012775477749.500,275068.826544,69,70,-1.945848,1
142,142,camera_timecode_anchor,1788012775511179.000,275072.886590,70,70,-0.945084,0
143,143,timestamp_inferred,1788012775544603.500,275076.985555,70,71,-0.945084,0
144,144,camera_timecode_anchor,1788012775578028.000,275081.084520,71,71,0.704335,1
145,145,timestamp_inferred,1788012775611458.500,275085.296712,71,72,0.704335,1
146,146,camera_timecode_anchor,1788012775644889.000,275089.508905,72,72,-4.092461,1
147,147,timestamp_inferred,1788012775678315.500,275093.670107,72,73,-4.092461,1
148,148,camera_timecode_anchor,1788012775711742.000,275097.831310,73,73,-1.405753,1
149,149,timestamp_inferred,1788012775745167.000,275101.760235,73,74,-1.405753,1
150,150,camera_timecode_anchor,1788012775778592.000,275105.689160,74,74,-2.590332,1
151,151,timestamp_inferred,1788012775812018.750,275109.042537,74,75,-2.590332,1
152,152,timestamp_inferred,1788012775845445.250,275112.395914,74,75,-2.089244,1
153,153,camera_timecode_anchor,1788012775878872.000,275115.749291,75,75,-2.089244,1
154,154,timestamp_inferred,1788012775912301.000,275119.825790,75,76,-2.089244,1
155,155,camera_timecode_anchor,1788012775945730.000,275123.902290,76,76,-0.814252,1
156,156,timestamp_inferred,1788012775979154.500,275127.991570,76,77,-0.814252,1
157,157,camera_timecode_anchor,1788012776012579.000,275132.080850,77,77,0.673748,1
158,158,timestamp_inferred,1788012776046008.000,275136.225110,77,78,0.673748,1
159,159,camera_timecode_anchor,1788012776079437.000,275140.369370,78,78,3.078080,1
160,160,timestamp_inferred,1788012776112862.000,275144.406915,78,79,3.078080,1
161,161,camera_timecode_anchor,1788012776146287.000,275148.444461,79,79,3.703843,1
162,162,timestamp_inferred,1788012776179718.000,275152.556578,79,80,3.703843,1
163,163,camera_timecode_anchor,1788012776213149.000,275156.668695,80,80,-2.760871,1
164,164,timestamp_inferred,1788012776246574.500,275160.631858,80,81,-2.760871,1
165,165,camera_timecode_anchor,1788012776280000.000,275164.595021,81,81,-3.374825,1
166,166,timestamp_inferred,1788012776313430.000,275168.500495,81,82,-3.374825,1
167,167,camera_timecode_anchor,1788012776346860.000,275172.405969,82,82,3.383076,0
168,168,timestamp_inferred,1788012776380286.000,275176.439256,82,83,3.383076,0
169,169,camera_timecode_anchor,1788012776413712.000,275180.472544,83,83,3.937863,1
170,170,timestamp_inferred,1788012776447137.000,275184.504740,83,84,3.937863,1
171,171,camera_timecode_anchor,1788012776480562.000,275188.536935,84,84,-3.858871,0
172,172,timestamp_inferred,1788012776513988.500,275192.667602,84,85,-3.858871,0
173,173,camera_timecode_anchor,1788012776547415.000,275196.798269,85,85,-1.681093,1
174,174,timestamp_inferred,1788012776580841.000,275200.963172,85,86,-1.681093,1
175,175,camera_timecode_anchor,1788012776614267.000,275205.128076,86,86,1.067300,0
176,176,timestamp_inferred,1788012776647696.500,275209.146452,86,87,1.067300,0
177,177,camera_timecode_anchor,1788012776681126.000,275213.164828,87,87,1.373568,1
178,178,timestamp_inferred,1788012776714555.500,275217.246272,87,88,1.373568,1
